"nl","fr","aantal_keer","eerste_bestand","regel"
"Download een Excel-bestand (CSV) met alle uren van deze maand","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","319"
"E-mail","","2","components/developer/DeveloperPanel/DeveloperPanel.tsx","929"
"Eenheid","","3","components/developer/DeveloperPanel/DeveloperPanel.tsx","320"
"Eerste configuratie","","1","components/setup/SetupWizard/SetupWizard.tsx","132"
"Eerste energiefactuur toevoegen","","1","components/forms/InstellingenForm/InstellingenForm.tsx","493"
"EHBO handeling","","1","components/incidenten/EhboForm/EhboForm.tsx","90"
"EHBO-verlener","","1","components/incidenten/EhboForm/EhboForm.tsx","94"
"Eigenaar","","6","components/account/AccountForm/AccountForm.tsx","657"
"Elektriciteitsfactuur","","2","components/forms/HistoryList/HistoryList.tsx","283"
"Elke X maanden (12 = jaarlijks, 24 = 2 jaar)","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1039"
"Elke X wassingen","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1038"
"Energie","","2","components/forms/HistoryList/HistoryList.tsx","203"
"Energiefacturen","","3","components/account/AccountForm/AccountForm.tsx","535"
"Ernst","","3","components/dashboard/IncidentModal/IncidentModal.tsx","119"
"Externe technieker","","2","components/logboek/LogboekPanel/LogboekPanel.tsx","220"
"Foto&apos;s","","2","components/incidenten/EhboForm/EhboForm.tsx","109"
"Frequentie","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","46"
"Gebeurtenissen vandaag","","1","components/forms/DagficheForm/DagficheForm.tsx","309"
"Gebruikers","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","915"
"Gebruikersnaam","","2","components/account/AccountForm/AccountForm.tsx","388"
"Geen chemie","","1","components/shared/WashProgramManager/WashProgramManager.tsx","80"
"Geen eigenaars gevonden.","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1166"
"Geen geplande shiften voor de komende 2 weken.","","1","components/planning/PlanningPanel/PlanningPanel.tsx","161"
"Geen items","","2","components/dashboard/AlertsPanel/AlertsPanel.tsx","254"
"Geen onderhoudstaken gevonden. Voeg taken toe in instellingen.","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","125"
"Geen openstaande problemen of onderhoud — alles is in orde.","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","208"
"Geen producten","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","285"
"Geen producten gevonden. Voeg eerst producten toe in instellingen.","","1","components/leveringen/LeveringenPanel/LeveringenPanel.tsx","46"
"Geen producten gevonden. Voeg eerst producten toe via &quot;Producten beheren&quot; hierboven.","","1","components/forms/InstellingenForm/InstellingenForm.tsx","726"
"Geen programma&apos;s","","1","components/shared/WashProgramManager/WashProgramManager.tsx","245"
"Geen programma&apos;s gevonden. Voeg eerst programma&apos;s toe in de database.","","1","components/forms/WeeklyEntryForm/WeeklyEntryForm.tsx","324"
"Geen registraties gevonden voor de afgelopen 30 dagen.","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","391"
"Geen registraties gevonden voor deze maand.","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","328"
"Geen shiften gepland","","1","components/planning/PlanningPanel/PlanningPanel.tsx","217"
"Geen taken voor deze carwash","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1141"
"Geen toegang","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","142"
"Geen voorraad","","1","components/dashboard/VoorraadPanel/VoorraadPanel.tsx","37"
"Gemelde defecten","","1","components/forms/DagficheForm/DagficheForm.tsx","248"
"Geregistreerd door:","","2","components/incidenten/EhboForm/EhboForm.tsx","114"
"Herstel voltooid.","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1204"
"Herstellen","","2","components/dashboard/AlertsPanel/AlertsPanel.tsx","192"
"Historiek","","1","components/dashboard/ActivitySection/ActivitySection.tsx","80"
"Hoog","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","167"
"Huidige tellerstand","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","68"
"Huidige tellerstand ingeven","","1","components/setup/SetupWizard/SetupWizard.tsx","151"
"Huidige voorraad","","2","components/forms/InstellingenForm/InstellingenForm.tsx","679"
"In orde","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","107"
"Inactief","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","133"
"Ingang tunnel","","1","components/incidenten/EhboForm/EhboForm.tsx","79"
"Ingave","","1","components/layout/DesktopNav/DesktopNav.tsx","62"
"Installeren als app","","1","components/handleiding/HandleidingContent/HandleidingContent.tsx","302"
"Instellingen in 3 stappen","","1","components/forms/InstellingenForm/InstellingenForm.tsx","486"
"Interval (maanden)","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1099"
"Interval (wassen)","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1063"
"Inventory table","","1","components/dashboard/InventoryPanel/InventoryPanel.tsx","37"
"Ja","","1","components/dashboard/AlertsPanel/AlertsPanel.tsx","131"
"Jaar","","1","components/account/AccountForm/AccountForm.tsx","540"
"Jan Janssen","","1","components/incidenten/EhboForm/EhboForm.tsx","75"
"John D","","1","components/incidenten/SchadeForm/SchadeForm.tsx","113"
"John Dhoe","","2","components/account/AccountForm/AccountForm.tsx","682"
"john.dhoe@domain.com","","1","components/account/AccountForm/AccountForm.tsx","689"
"john@domain.com","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","930"
"kg","","2","components/developer/DeveloperPanel/DeveloperPanel.tsx","323"
"Kies een datum in de week die u wilt invullen","","1","components/forms/WeeklyEntryForm/WeeklyEntryForm.tsx","268"
"Knoppen &amp; acties","","7","components/handleiding/HandleidingContent/HandleidingContent.tsx","97"
"Korte omschrijving van het technisch probleem...","","1","components/incidenten/IncidentenPanel/IncidentenPanel.tsx","240"
"Kostprijs","","1","components/forms/HistoryList/HistoryList.tsx","206"
"Kostprijzen ingesteld","","1","components/setup/SetupWizard/SetupWizard.tsx","499"
"Kostprijzen per eenheid instellen","","1","components/setup/SetupWizard/SetupWizard.tsx","153"
"L (liter)","","2","components/developer/DeveloperPanel/DeveloperPanel.tsx","322"
"Laag","","2","components/leveringen/LeveringenPanel/LeveringenPanel.tsx","60"
"Laatst gedaan","","2","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","51"
"Laatste beurt (optioneel)","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1109"
"Laatste uitvoering invullen","","1","components/setup/SetupWizard/SetupWizard.tsx","251"
"Laden...","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","325"
"Laden…","","2","components/dashboard/ActivitySection/ActivitySection.tsx","82"
"LC Shampoo Fresh","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","316"
"Live data","","1","components/layout/TopBar/TopBar.tsx","28"
"Locatie","","2","components/account/AccountForm/AccountForm.tsx","493"
"m³","","1","components/forms/InstellingenForm/InstellingenForm.tsx","943"
"Maand","","4","components/account/AccountForm/AccountForm.tsx","551"
"Maanden","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1091"
"Main navigation","","1","components/layout/Sidebar/Sidebar.tsx","54"
"Medewerker","","6","components/account/AccountForm/AccountForm.tsx","655"
"Medium","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","166"
"Meer","","2","components/layout/BottomNav/MeerSheet.tsx","92"
"Meer info","","1","components/dashboard/RankingWidget/RankingWidget.tsx","35"
"Melden","","1","components/layout/DesktopNav/DesktopNav.tsx","69"
"Meldingen inschakelen","","2","components/layout/PushSetup/PushSetup.tsx","116"
"Merk / Model","","1","components/incidenten/SchadeForm/SchadeForm.tsx","100"
"Mijn werkschema","","1","components/planning/PlanningPanel/PlanningPanel.tsx","159"
"Min. alert","","1","components/forms/InstellingenForm/InstellingenForm.tsx","680"
"ml","","1","components/forms/InstellingenForm/InstellingenForm.tsx","607"
"Naam","","5","components/developer/DeveloperPanel/DeveloperPanel.tsx","311"
"Naam (bv. Dodane Aalst)","","1","components/account/AccountForm/AccountForm.tsx","486"
"Naam eigenaar","","1","components/incidenten/SchadeForm/SchadeForm.tsx","112"
"Naam slachtoffer","","1","components/incidenten/EhboForm/EhboForm.tsx","74"
"Naam van de technieker","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","230"
"Naam verlener","","1","components/incidenten/EhboForm/EhboForm.tsx","95"
"Naar carwash...","","1","components/forms/InstellingenForm/InstellingenForm.tsx","788"
"Navigeren tussen pagina&apos;s","","1","components/handleiding/HandleidingContent/HandleidingContent.tsx","294"
"Nee","","2","components/dashboard/AlertsPanel/AlertsPanel.tsx","132"
"Net change","","1","components/dashboard/HeroPanel/HeroPanel.tsx","40"
"Nieuw EHBO incident rapporteren","","1","components/incidenten/EhboForm/EhboForm.tsx","61"
"Nieuw schadeongeval rapporteren","","1","components/incidenten/SchadeForm/SchadeForm.tsx","89"
"Nieuwe gebruiker toevoegen","","1","components/account/AccountForm/AccountForm.tsx","677"
"Nieuwe opdracht","","1","components/opdrachten/OpdrachtenPanel/OpdrachtenPanel.tsx","148"
"Nieuwe tellerstand","","1","components/forms/HistoryList/HistoryList.tsx","248"
"Nieuwe tellerstand water (m³)","","1","components/forms/HistoryList/HistoryList.tsx","302"
"Nog geen activiteit.","","1","components/dashboard/ActivitySection/ActivitySection.tsx","85"
"Nog geen berichten.","","1","components/diversen/DiversenPanel/DiversenPanel.tsx","124"
"Nog geen facturen ingevoerd.","","1","components/account/AccountForm/AccountForm.tsx","587"
"Nog geen ingaves gevonden voor deze carwash.","","1","components/forms/HistoryList/HistoryList.tsx","407"
"Nog geen onderhoudstaken geconfigureerd.","","1","components/forms/InstellingenForm/InstellingenForm.tsx","1024"
"Nog geen producten toegevoegd.","","1","components/forms/InstellingenForm/InstellingenForm.tsx","562"
"Nog geen uitvoeringen geregistreerd voor deze taak.","","1","app/onderhouden/[taskId]/page.tsx","80"
"Nog nooit","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","57"
"Nog te gaan","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","74"
"Nummerplaat","","1","components/incidenten/SchadeForm/SchadeForm.tsx","104"
"of na een","","1","components/setup/SetupWizard/SetupWizard.tsx","225"
"Omschrijf het defect...","","1","components/forms/DagficheForm/DagficheForm.tsx","270"
"Omschrijving","","5","components/dashboard/IncidentModal/IncidentModal.tsx","77"
"Omschrijving opdracht (bv. Droogzone volledig reinigen)","","1","components/opdrachten/OpdrachtenPanel/OpdrachtenPanel.tsx","166"
"Omschrijving schade","","1","components/incidenten/SchadeForm/SchadeForm.tsx","128"
"Omschrijving taak...","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","159"
"Onderhoud","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","39"
"Onderhoud installatie","","2","components/account/AccountForm/AccountForm.tsx","742"
"Onderhoud vandaag","","1","components/forms/DagficheForm/DagficheForm.tsx","219"
"Onderhoudstaak niet gevonden.","","1","app/onderhouden/[taskId]/page.tsx","48"
"Onderhoudstaken","","1","components/forms/InstellingenForm/InstellingenForm.tsx","991"
"Onderhoudstaken configureren (op wassen of op datum)","","1","components/setup/SetupWizard/SetupWizard.tsx","152"
"Op schema","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","160"
"Open navigation menu","","1","components/layout/TopBar/TopBar.tsx","22"
"Opgeslagen","","4","components/forms/InstellingenForm/InstellingenForm.tsx","544"
"Opmerking","","1","components/planning/PlanningPanel/PlanningPanel.tsx","322"
"Opmerking (optioneel, bv. reden van het bezoek)","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","238"
"Opmerking (optioneel)","","2","components/logboek/LogboekPanel/LogboekPanel.tsx","190"
"Opmerking bij oplossen (optioneel)","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","230"
"Opmerking toevoegen...","","2","components/forms/DagficheForm/DagficheForm.tsx","207"
"Optioneel","","1","components/planning/PlanningPanel/PlanningPanel.tsx","328"
"Overzicht deze week","","1","components/planning/PlanningPanel/PlanningPanel.tsx","240"
"Password","","1","components/account/AccountForm/AccountForm.tsx","441"
"Personeelsgegevens","","1","components/account/AccountForm/AccountForm.tsx","630"
"piet@mail.be","","1","components/incidenten/SchadeForm/SchadeForm.tsx","125"
"Prijzen","","1","components/forms/InstellingenForm/InstellingenForm.tsx","502"
"Prijzen nog niet ingesteld — stel uw instellingen in om kosten te berekenen","","1","components/dashboard/CarwashPage/CarwashPage.tsx","900"
"Prijzen per eenheid","","1","components/forms/InstellingenForm/InstellingenForm.tsx","520"
"Prijzen per eenheid instellen","","1","components/forms/InstellingenForm/InstellingenForm.tsx","491"
"Product","","3","components/dashboard/InventoryPanel/InventoryPanel.tsx","41"
"Producten","","3","components/developer/DeveloperPanel/DeveloperPanel.tsx","873"
"Producten beheren","","1","components/forms/InstellingenForm/InstellingenForm.tsx","554"
"Productnaam (bv. Shampoo Pro)","","1","components/forms/InstellingenForm/InstellingenForm.tsx","593"
"Programma","","1","components/dashboard/ProgrammaCard/ProgrammaCard.tsx","90"
"Programma naam","","1","components/shared/WashProgramManager/WashProgramManager.tsx","268"
"Programma&apos;s &amp; Chemie","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","894"
"Push-meldingen","","1","components/handleiding/HandleidingContent/HandleidingContent.tsx","311"
"Rangschikking","","1","components/dashboard/RankingModal/RankingModal.tsx","321"
"Ranking","","1","components/dashboard/RankingWidget/RankingWidget.tsx","28"
"Reacties beschikbaar","","1","components/dashboard/AlertsPanel/AlertsPanel.tsx","186"
"Recente berichten","","1","components/diversen/DiversenPanel/DiversenPanel.tsx","122"
"Recente incidenten","","1","components/incidenten/IncidentenPanel/IncidentenPanel.tsx","168"
"Registreer aanwezigheid","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","182"
"Registreer een levering om de voorraad bij te werken.","","1","app/leveringen/page.tsx","56"
"rol","","1","components/forms/InstellingenForm/InstellingenForm.tsx","609"
"Rol","","2","components/developer/DeveloperPanel/DeveloperPanel.tsx","168"
"Schade","","1","components/incidenten/IncidentenPanel/IncidentenPanel.tsx","162"
"Schade locatie(s)","","1","components/incidenten/SchadeForm/SchadeForm.tsx","135"
"Search products, SKUs, orders…","","1","components/layout/TopBar/TopBar.tsx","41"
"Selecteer carwash","","1","components/layout/NavBar/SiteSelector.tsx","42"
"Selecteer programma","","1","components/dashboard/ProgrammaCard/ProgrammaCard.tsx","96"
"Shift toevoegen","","1","components/planning/PlanningPanel/PlanningPanel.tsx","266"
"Shift verwijderen","","1","components/planning/PlanningPanel/PlanningPanel.tsx","227"
"Slachtoffer","","1","components/dashboard/IncidentModal/IncidentModal.tsx","94"
"Sluiten","","3","components/dashboard/AlertsPanel/AlertsPanel.tsx","246"
"Snijwonde hand","","1","components/incidenten/EhboForm/EhboForm.tsx","83"
"Spiegel geraakt tijdens doorrijden tunnel...","","1","components/incidenten/SchadeForm/SchadeForm.tsx","129"
"st (stuk)","","1","components/forms/InstellingenForm/InstellingenForm.tsx","608"
"Stand teller","","1","components/forms/HistoryList/HistoryList.tsx","434"
"Start hoeveelheid wagens","","1","components/forms/InstellingenForm/InstellingenForm.tsx","958"
"Startvoorraad","","2","components/forms/InstellingenForm/InstellingenForm.tsx","507"
"Startvoorraad ingeven","","1","components/forms/InstellingenForm/InstellingenForm.tsx","492"
"Status","","3","components/dashboard/InventoryPanel/InventoryPanel.tsx","45"
"Stock","","1","components/dashboard/InventoryPanel/InventoryPanel.tsx","44"
"Stock Overview","","1","components/dashboard/InventoryPanel/InventoryPanel.tsx","33"
"stuks","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","324"
"Taak toevoegen","","1","components/setup/SetupWizard/SetupWizard.tsx","430"
"Taal","","2","components/account/AccountForm/AccountForm.tsx","414"
"Te laat","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","156"
"Technieker","","4","components/account/AccountForm/AccountForm.tsx","656"
"Technisch defect melden","","1","components/incidenten/IncidentenPanel/IncidentenPanel.tsx","237"
"Tel. / Gsm","","1","components/incidenten/SchadeForm/SchadeForm.tsx","120"
"Tellerstand","","3","components/forms/HistoryList/HistoryList.tsx","244"
"Tellerstand bij laatste beurt","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","410"
"Tellerstand laatste keer","","3","components/forms/InstellingenForm/InstellingenForm.tsx","1074"
"Tellerstand water","","3","components/forms/HistoryList/HistoryList.tsx","298"
"Terug","","1","components/layout/NavBar/NavBar.tsx","28"
"This month","","1","components/dashboard/RankingCard/RankingCard.tsx","66"
"Tier","","2","components/shared/WashProgramManager/WashProgramManager.tsx","95"
"Toegang","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","182"
"Toewijzen aan (optioneel — leeg = iedereen)","","1","components/opdrachten/OpdrachtenPanel/OpdrachtenPanel.tsx","172"
"Toewijzen aan... (optioneel)","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","171"
"Top Products","","1","components/dashboard/RankingCard/RankingCard.tsx","65"
"Tot","","1","components/planning/PlanningPanel/PlanningPanel.tsx","313"
"Type interval","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1032"
"Type trigger","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1043"
"Type voertuig","","1","components/incidenten/SchadeForm/SchadeForm.tsx","94"
"Uitloggen","","1","components/layout/NavBar/LogoutButton.tsx","16"
"Units added","","1","components/dashboard/HeroPanel/HeroPanel.tsx","30"
"Units removed","","1","components/dashboard/HeroPanel/HeroPanel.tsx","35"
"Updated","","1","components/dashboard/InventoryPanel/InventoryPanel.tsx","46"
"Uren","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","337"
"User menu","","1","components/layout/TopBar/TopBar.tsx","61"
"Uur","","1","components/incidenten/EhboForm/EhboForm.tsx","70"
"Van","","1","components/planning/PlanningPanel/PlanningPanel.tsx","304"
"Van en naar moeten verschillen","","1","components/account/AccountForm/AccountForm.tsx","823"
"Vandaag","","2","components/planning/PlanningPanel/PlanningPanel.tsx","175"
"Vaste datum per jaar","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1040"
"Vaste maand(en) per jaar","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1041"
"Verbruik","","2","components/forms/HistoryList/HistoryList.tsx","317"
"Verbruiksweergave","","1","components/dashboard/UsageToggle/UsageToggle.tsx","29"
"Verjaardag","","2","components/account/AccountForm/AccountForm.tsx","398"
"Verlopen","","2","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","69"
"Vervallen — voer onderhoud uit","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","81"
"Verwijder foto","","1","components/ui/PhotoUpload/PhotoUpload.tsx","60"
"Verwijderen","","7","components/dashboard/AnnouncementBanner/AnnouncementBanner.tsx","55"
"Verwijderen?","","1","components/dashboard/AlertsPanel/AlertsPanel.tsx","129"
"Verwonding","","2","components/dashboard/IncidentModal/IncidentModal.tsx","99"
"Voeg een reactie toe… (Ctrl+Enter om op te slaan)","","1","components/dashboard/ActivitySection/ActivitySection.tsx","110"
"Voeg eerst producten toe aan deze site","","2","components/shared/WashProgramManager/WashProgramManager.tsx","108"
"Voertuig","","1","components/dashboard/IncidentModal/IncidentModal.tsx","64"
"Volgende →","","2","components/setup/SetupWizard/SetupWizard.tsx","215"
"Volgende dag","","1","components/dashboard/AlertsPanel/AlertsPanel.tsx","380"
"Volgende week →","","1","components/planning/PlanningPanel/PlanningPanel.tsx","200"
"Voorraad","","1","components/dashboard/VoorraadPanel/VoorraadPanel.tsx","33"
"Vorige dag","","1","components/dashboard/AlertsPanel/AlertsPanel.tsx","372"
"VW Golf","","1","components/incidenten/SchadeForm/SchadeForm.tsx","101"
"Wachtwoord","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","933"
"wagens","","1","components/forms/InstellingenForm/InstellingenForm.tsx","976"
"Wagens","","3","components/dashboard/ProgrammaCard/ProgrammaCard.tsx","109"
"WashIQ","","2","components/auth/LoginForm/LoginForm.tsx","103"
"Wasprogramma&apos;s","","2","components/dashboard/ProgrammaCard/ProgrammaCard.tsx","85"
"wassen vandaag","","1","components/forms/DagficheForm/DagficheForm.tsx","183"
"Wassingen bij laatste beurt","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1119"
"Wassingen bij laatste uitvoering","","1","components/dashboard/MaintenanceModal/MaintenanceModal.tsx","63"
"Wat is dit?","","7","components/handleiding/HandleidingContent/HandleidingContent.tsx","89"
"Water","","2","components/forms/HistoryList/HistoryList.tsx","202"
"Watervoorraad","","1","components/forms/InstellingenForm/InstellingenForm.tsx","925"
"Week van","","1","components/forms/HistoryList/HistoryList.tsx","232"
"Weekly Stock Movement","","1","components/dashboard/HeroPanel/HeroPanel.tsx","12"
"Weekly stock movement chart","","1","components/dashboard/HeroPanel/StockChart.tsx","53"
"Wekelijks verbruik per product, plus water en elektriciteit per wassing","","1","app/historiek/page.tsx","150"
"Welkom bij WashIQ","","1","components/handleiding/HandleidingContent/HandleidingContent.tsx","327"
"WhatsApp","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","198"
"Wonde gereinigd","","1","components/incidenten/EhboForm/EhboForm.tsx","91"
"Zeker?","","1","components/technieker/TechniekerPanel/TechniekerPanel.tsx","239"
"Zet op beginscherm","","1","components/layout/BottomNav/MeerSheet.tsx","109"
"Zoutverzachter","","1","components/forms/HistoryList/HistoryList.tsx","376"
